X,Y,name,type,group,county,note,website,address,point_x,point_y,source,link_id,cms_link,filename
-122.574938061442253,37.864634573227121,Pelican Inn,Cafe,Muir Beach,Marin,,,"10 Pacific Way  Muir Beach, CA 94965-9729",-122.57493806100,37.86463457320,"Ally Gregg-Zellars, 1/3/12",0,490,PelicanI490.html
-122.574473724382656,37.864915882062455,Dias Ridge Trail,Trailhead,Muir Beach,Marin,,,,-122.57447372400,37.86491588210,from Trails_pts_100ft_20111121,0,491,DiasRidg491.html
-122.571777000208215,37.865368000033328,DIAS RIDGE,Restoration Site,Dias Ridge,Marin,,,,-122.57177700000,37.86536800000,Park Stewardship Restoration Sites and Meeting Locations,146,492,DIASRIDG492.html
-122.574326928045082,37.865446673625222,Golden Gate Dairy/stables,Site of Interest,Muir Beach,Marin,,,,-122.57432692800,37.86544667360,"Jill Harley, 2/15/2012",0,493,GoldenGa493.html
-122.563930763393827,37.865950668088999,"Green Gulch Farms, Zen Center",Site of Interest,Muir Beach,Marin,,,,-122.56393076300,37.86595066810,"Ally Gregg-Zellars, 1/3/12",0,494,GreenGul494.html
-122.510075856415511,37.866884678785084,Orchard Fire Road Trailhead,Trailhead,Oakwood Valley,Marin,coming soon,,,-122.51007585600,37.86688467880,"Ally Gregg-Zellars, 1/3/12",0,495,OrchardF495.html
-122.510430477983988,37.866979499704279,Orchard Fire Road,Parking Lot,Oakwood Valley,Marin,,,,-122.51043047800,37.86697949970,"Ally Gregg-Zellars, 1/3/12",0,496,OrchardF496.html
-122.52764100003192,37.868545999998034,OAKWOOD VALLEY,Restoration Site,Oakwood Valley,Marin,,,,-122.52764100000,37.86854600000,Park Stewardship Restoration Sites and Meeting Locations,149,497,OAKWOODV497.html
-122.527770999731743,37.869411000317569,Oakwood Valley Trail,Meeting Place,Oakwood Valley,Marin,,,,-122.52777100000,37.86941100030,All Maria and Galena sites,57,498,OakwoodV498.html
-122.520157000245206,37.869456999740862,ALTA AVE.,Restoration Site,Oakwood Valley,Marin,,,,-122.52015700000,37.86945699970,Park Stewardship Restoration Sites and Meeting Locations,150,499,ALTAAVE499.html
-122.589580276208579,37.869740105421627,Coastal Trail,Trailhead,Muir Beach,Marin,,,,-122.58958027600,37.86974010540,from Trails_pts_100ft_20111121,0,500,CoastalT500.html
-122.514806048460201,37.869968910936706,Pacheco Fire Road,Trailhead,Oakwood Valley,Marin,,,,-122.51480604800,37.86996891090,from Trails_pts_100ft_20111121,0,501,PachecoF501.html
-122.527064162281107,37.870101261464228,Oakwood Valley Trail,Trailhead,Oakwood Valley,Marin,,,,-122.52706416200,37.87010126150,from Trails_pts_100ft_20111121,0,502,OakwoodV502.html
-122.536082016072015,37.872431484925244,County View Road,Trailhead,Tennessee Valley,Marin,,,,-122.53608201600,37.87243148490,from Trails_pts_100ft_20111121,0,503,CountyVi503.html
-122.535903999769616,37.872551000328514,Coyote Ridge Meeting Location,Meeting Place,Tennessee Valley,Marin,,,,-122.53590400000,37.87255100030,HRT work locations,103,504,CoyoteRi504.html
